"var","var_2","cor"
"398","saldo_cal34_max1m3","saldo_cal1234_max1m3",0.6042
"399","saldo_cal34_max1m3","saldo_cal234_max1m12",0.6788
"400","saldo_cal34_max1m3","por_mora_0_min1m12",-0.3275
"401","saldo_cal34_max1m3","por_cal1234_max1m3",0.3659
"402","saldo_cal34_max1m3","por_cal234_max1m12",0.3884
"403","saldo_cal34_max1m3","por_cal1234_1m",0.3679
"404","saldo_cal34_max1m3","calificacion_1m",0.3648
"405","saldo_cal34_max1m3","frec_mora30_1m12",0.4087
"406","saldo_cal34_max1m3","calificacion_max1m6",0.3918
"407","saldo_cal34_max1m3","saldo_cal1234_1m",0.4662
"408","saldo_cal34_max1m3","can_emp_1m",0.0821
"409","saldo_cal34_max1m3","edad",-0.0262
"410","saldo_cal34_max1m3","frec_mora0_1m12",0.403
"411","saldo_cal34_max1m3","por_cal0_min1m12",-0.3262
"412","saldo_cal34_max1m3","frec_calificacion_234_1m12",0.3733
"413","saldo_cal34_max1m3","mora_max1m3",0.2307
"414","saldo_cal34_max1m3","por_mora0_max1m3",0.3328
"415","saldo_cal34_max1m3","saldo_mora0_max1m3",0.4201
"416","saldo_cal34_max1m3","mora_1m",0.2238
"417","saldo_cal34_max1m3","por_mora0_1m",0.3291
"418","saldo_cal34_max1m3","saldo_mora0_1m",0.2377
"419","saldo_cal34_max1m3","frec_calificacion_1234_1m12",0.3769
"420","saldo_cal34_max1m3","disp_efectivo_max1m6",-0.0616
"421","saldo_cal34_max1m3","por_uso_efectivo_max1m6",-0.0661
"422","saldo_cal34_max1m3","linea_usada_max1m6",-0.0921
"423","saldo_cal34_max1m3","calificacion_max1m12",0.3966
"424","saldo_cal34_max1m3","linea_total_max1m6",-0.116
"425","saldo_cal34_max1m3","saldo_cal1234_max1m6",0.5133
"426","saldo_cal34_max1m3","por_uso_linea_max1m6",-0.0059
"427","saldo_cal34_max1m3","cv_saldo_1m12",-0.2092
"428","saldo_cal34_max1m3","por_cal1234_max1m6",0.3521
"429","saldo_cal34_max1m3","disp_efectivo_max1m12",-0.0777
"430","saldo_cal34_max1m3","por_uso_efectivo_max1m12",-0.0842
"431","por_cal34_max1m3","por_mora60_max1m3",0.9852
"432","por_cal34_max1m3","saldo_mora60_max1m3",0.432
"433","por_cal34_max1m3","por_mora90_max1m3",0.9705
"434","por_cal34_max1m3","saldo_mora90_max1m3",0.5073
"435","por_cal34_max1m3","por_mora90_max1m12",0.9442
"436","por_cal34_max1m3","saldo_mora90_max1m12",0.3952
"437","por_cal34_max1m3","por_mora60_max1m6",0.9765
"438","por_cal34_max1m3","saldo_mora60_max1m6",0.428
"439","por_cal34_max1m3","saldo_cal4_max1m6",0.4904
"440","por_cal34_max1m3","por_mora90_max1m6",0.9677
"441","por_cal34_max1m3","saldo_mora90_max1m6",0.4986
"442","por_cal34_max1m3","saldo_cal34_max1m12",0.3321
"443","por_cal34_max1m3","por_cal34_max1m12",0.9515
"444","por_cal34_max1m3","ci_pv",-0.0166
"445","por_cal34_max1m3","saldo_cal34_max1m6",0.3805
"446","por_cal34_max1m3","por_cal4_max1m6",0.9569
"447","por_cal34_max1m3","saldo_cal4_max1m12",0.3926
"448","por_cal34_max1m3","por_cal34_1m",0.9855
"449","por_cal34_max1m3","por_cal4_max1m12",0.9344
"450","por_cal34_max1m3","saldo_cal4_max1m3",0.5016
"451","por_cal34_max1m3","por_mora60_1m",0.9732
"452","por_cal34_max1m3","saldo_mora60_1m",0.5919
"453","por_cal34_max1m3","por_cal4_max1m3",0.9643
"454","por_cal34_max1m3","por_cal34_max1m6",0.9797
"455","por_cal34_max1m3","por_mora90_1m",0.9629
"456","por_cal34_max1m3","saldo_mora90_1m",0.5889
"457","por_cal34_max1m3","por_castigo_max1m6",0.9152
"458","por_cal34_max1m3","saldo_castigo_max1m6",0.5439
"459","por_cal34_max1m3","saldo_cal34_1m",0.5298
"460","por_cal34_max1m3","por_mora_0_min1m6",-0.8189
